hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal
מֵהֶֽם׃,H1992,mê·hem.,of them,Prep‑m | Pro‑3mp,H1992,Obadiah,1,122
תֵּ֤רֶא,H7200,tê·re,you should have gazed,V‑Qal‑Imperf.Jus‑2ms,H7200,Obadiah,1,123
בְיוֹם־,H3117,ḇə·yō·wm-,on the day of,Prep‑b | N‑msc,H3117,Obadiah,1,124
אָחִ֙יךָ֙,H251,’ā·ḥî·ḵā,your brother,N‑msc | 2ms,H251,Obadiah,1,125
בְּי֣וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑msc,H3117,Obadiah,1,126
נָכְר֔וֹ,H5237,"nā·ḵə·rōw,",of his captivity,N‑msc | 3ms,H5237,Obadiah,1,127
וְאַל־,H408,wə·’al-,nor,Conj‑w | Adv,H408,Obadiah,1,128
תִּשְׂמַ֥ח,H8055,tiś·maḥ,should you have rejoiced,V‑Qal‑Imperf‑2ms,H8055,Obadiah,1,129
לִבְנֵֽי־,H1121,liḇ·nê-,over the sons,Prep‑l | N‑mpc,H1121,Obadiah,1,130
יְהוּדָ֖ה,H3063,yə·hū·ḏāh,of Judah,N‑proper‑ms,H3063,Obadiah,1,131
בְּי֣וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑msc,H3117,Obadiah,1,132
אָבְדָ֑ם,H6,’ā·ḇə·ḏām;,of their destruction,V‑Qal‑Inf | 3mp,H6,Obadiah,1,133
וְאַל־,H408,wə·’al-,nor,Conj‑w | Adv,H408,Obadiah,1,134
תַּגְדֵּ֥ל,H1431,taḡ·dêl,should have spoken proudly,V‑Hifil‑Imperf.Jus‑3fs,H1431,Obadiah,1,135
פִּ֖יךָ,H6310,pî·ḵā,you,N‑msc | 2ms,H6310,Obadiah,1,136
בְּי֥וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑msc,H3117,Obadiah,1,137
צָרָֽה׃,H6869,ṣā·rāh.,of distress,N‑fs,H6869,Obadiah,1,138
תָּב֤וֹא,H935,tā·ḇō·w,You should have entered,V‑Qal‑Imperf‑2ms,H935,Obadiah,1,139
בְשַֽׁעַר־,H8179,ḇə·ša·‘ar-,the gate,Prep‑b | N‑msc,H8179,Obadiah,1,140
עַמִּי֙,H5971,‘am·mî,of My people,N‑msc | 1cs,H5971,Obadiah,1,141
בְּי֣וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑msc,H3117,Obadiah,1,142
אֵידָ֔ם,H343,"’ê·ḏām,",of their calamity,N‑msc | 3mp,H343,Obadiah,1,143
אַל־,H408,’al-,not,Adv,H408,Obadiah,1,144
תֵּ֧רֶא,H7200,tê·re,should have gazed,V‑Qal‑Imperf.Jus‑2ms,H7200,Obadiah,1,145
גַם־,H1571,ḡam-,indeed,Conj,H1571,Obadiah,1,146
אַתָּ֛ה,H859,’at·tāh,you,Pro‑2ms,H859,Obadiah,1,147
בְּרָעָת֖וֹ,H7451,bə·rā·‘ā·ṯōw,on their affliction,Prep‑b | N‑fsc | 3ms,H7451,Obadiah,1,148
בְּי֣וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑msc,H3117,Obadiah,1,149
אֵיד֑וֹ,H343,’ê·ḏōw;,of their calamity,N‑msc | 3ms,H343,Obadiah,1,150
וְאַל־,H408,wə·’al-,nor,Conj‑w | Adv,H408,Obadiah,1,151
תִּשְׁלַ֥חְנָה,H7971,tiš·laḥ·nāh,laid [hands],V‑Qal‑Imperf‑2fp,H7971,Obadiah,1,152
בְחֵיל֖וֹ,H2428,ḇə·ḥê·lōw,on their substance,Prep‑b | N‑msc | 3ms,H2428,Obadiah,1,153
בְּי֥וֹם,H3117,bə·yō·wm,in the day,Prep‑b | N‑msc,H3117,Obadiah,1,154
אֵידֽוֹ׃,H343,’ê·ḏōw.,of their calamity,N‑msc | 3ms,H343,Obadiah,1,155
תַּעֲמֹד֙,H5975,ta·‘ă·mōḏ,You should have stood,V‑Qal‑Imperf‑2ms,H5975,Obadiah,1,156
