hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
בָּ֑צֶר,H1220,bā·ṣer;,your gold,N‑ms,H1220,Job,22,3681,32
תּוֹעָפ֣וֹת,H8443,tō·w·‘ā·p̄ō·wṯ,precious,N‑fp,H8443,Job,22,3688,32
וְשַׁ֖ח,H7807,wə·šaḥ,and the humble [person],Conj‑w | Adj‑msc,H7807,Job,22,3710,32
אִֽי־,H336,’î-,[one who is] not,Adv‑NegPrt,H336,Job,22,3713,32
תְּכוּנָתֽוֹ׃,H8499,tə·ḵū·nā·ṯōw.,His seat,N‑fsc | 3ms,H8499,Job,23,3732,32
יְלַקֵּֽשׁוּ׃,H3953,yə·laq·qê·šū.,glean,V‑Piel‑Imperf‑3mp,H3953,Job,24,3852,32
יִרְטָ֑בוּ,H7372,yir·ṭā·ḇū;,they are wet,V‑Qal‑Imperf‑3mp,H7372,Job,24,3860,32
יַצְהִ֑ירוּ,H6671,yaṣ·hî·rū;,they press out oil,V‑Hifil‑Imperf‑3mp,H6671,Job,24,3877,32
יִנְאָ֗קוּ,H5008,"yin·’ā·qū,",groan,V‑Qal‑Imperf‑3mp,H5008,Job,24,3882,32
מְתָ֘ק֤וֹ,H4988,mə·ṯā·qōw,[should] feed sweetly on him,V‑Qal‑Perf‑3ms | 3ms,H4988,Job,24,3950,32
יַאֲהִ֑יל,H166,ya·’ă·hîl;,does shine,V‑Hifil‑Imperf‑3ms,H166,Job,25,4016,32
בְּלִי־,H1099,bə·lî-,nothing,Adv,H1099,Job,26,4064,32
פַּרְשֵׁ֖ז,H6576,par·šêz,[And] spreads,V‑Piel‑InfAbs,H6576,Job,26,4074,32
חָ֭ג,H2328,ḥāḡ,He drew,V‑Qal‑Perf‑3ms,H2328,Job,26,4077,32
יְרוֹפָ֑פוּ,H7322,yə·rō·w·p̄ā·p̄ū;,tremble,V‑Pual‑Imperf‑3mp,H7322,Job,26,4087,32
שִׁפְרָ֑ה,H8235,šip̄·rāh;,He adorned,N‑fs,H8235,Job,26,4096,32
יֵ֖שֶׁל,H7953,yê·šel,takes away,V‑Qal‑Imperf.Jus‑3ms,H7953,Job,27,4161,32
לְמוֹ־,H3926,lə·mōw-,[it is] for,Prep,H3926,Job,27,4203,32
שָׁ֑חַץ,H7830,šā·ḥaṣ;,the proud lions,N‑ms,H7830,Job,28,4306,32
תְ֭סֻלֶּה,H5541,ṯə·sul·leh,it be valued,V‑Pual‑Imperf‑3fs,H5541,Job,28,4354,32
וּזְכוֹכִ֑ית,H2137,ū·zə·ḵō·w·ḵîṯ;,nor crystal,Conj‑w | N‑fs,H2137,Job,28,4362,32
וְ֭גָבִישׁ,H1378,wə·ḡā·ḇîš,or quartz,Conj‑w | N‑ms,H1378,Job,28,4366,32
וּמֶ֥שֶׁךְ,H4901,ū·me·šeḵ,for the price,Conj‑w | N‑msc,H4901,Job,28,4369,32
הֲלִיכַ֣י,H1978,hă·lî·ḵay,my steps,N‑mpc | 1cs,H1978,Job,29,4461,32
הַֽעֹרְקִ֥ים,H6207,ha·‘ō·rə·qîm,Fleeing,Art | V‑Qal‑Prtcpl‑mp,H6207,Job,30,4596,32
מַלּ֣וּחַ,H4408,mal·lū·aḥ,mallow,N‑ms,H4408,Job,30,4601,32
שִׂ֑יחַ,H7880,śî·aḥ;,the bushes,N‑ms,H7880,Job,30,4603,32
יִנְהָ֑קוּ,H5101,yin·hā·qū;,they brayed,V‑Qal‑Imperf‑3mp,H5101,Job,30,4618,32
נִ֝כְּא֗וּ,H5217,"nik·kə·’ū,",they were scourged,V‑Nifal‑Perf‑3cp,H5217,Job,30,4627,32
פִּרְחַ֪ח,H6526,pir·ḥaḥ,the rabble,N‑ms,H6526,Job,30,4648,32
נְדִבָתִ֑י,H5082,nə·ḏi·ḇā·ṯî;,my honor,N‑fsc | 1cs,H5082,Job,30,4670,32
(תּוּשִׁיָּֽה׃),H7738,tū·šî·yāh.,my success,N‑fs,H7738,Job,30,4709,32
בְ֭עִי,H1164,ḇə·‘î,against a heap of ruins,Prep‑b | N‑ms,H1164,Job,30,4718,32
לָהֶ֥ן,H3861,lā·hen,they,Conj,H3861,Job,30,4723,32
שֽׁוּעַ׃,H7769,šū·a‘.,cry out,N‑ms,H7769,Job,30,4724,32
עָֽגְמָ֥ה,H5701,‘ā·ḡə·māh,Has [not] grieved,V‑Qal‑Perf‑3fs,H5701,Job,30,4729,32
רֻתְּח֥וּ,H7570,rut·tə·ḥū,is in turmoil,V‑Pual‑Perf‑3cp,H7570,Job,30,4740,32
שָׁחַ֣ר,H7835,šā·ḥar,grows black,V‑Qal‑Perf‑3ms,H7835,Job,30,4757,32
וְ֝נֵ֗כֶר,H5235,"wə·nê·ḵer,",and disaster,Conj‑w | N‑ms,H5235,Job,31,4782,32
מִשִּׁכְמָ֣ה,H7929,miš·šiḵ·māh,from my shoulder,Prep‑m | N‑msc | 3fs,H7929,Job,31,4903,32
פְּלִילִ֑י,H6416,pə·lî·lî;,judgment,Adj‑ms,H6416,Job,31,4943,32
בְּחֻבִּ֣י,H2243,bə·ḥub·bî,in my bosom,Prep‑b | N‑msc | 1cs,H2243,Job,31,4980,32
תָּ֭וִי,H8420,tā·wî,my mark,N‑proper‑ms,H8420,Job,31,4995,32
בָאְשָׁ֑ה,H890,ḇā·’ə·šāh;,weeds,N‑fs,H890,Job,31,5031,32
בַּרַכְאֵ֣ל,H1292,ba·raḵ·’êl,of Barachel,N‑proper‑ms,H1292,Job,32,5048,32
הַבּוּזִי֮,H940,hab·bū·zî,the Buzite,Art | N‑proper‑ms,H940,Job,32,5049,32
מֵחַוֺּ֖ת,H2331,mê·ḥaw·wōṯ,declare,Prep‑m | V‑Piel‑Inf,H2331,Job,32,5102,32
דֵּעִ֣י,H1843,dê·‘î,my opinion,N‑msc | 1cs,H1843,Job,32,5103,32
וְ֝אַכְפִּ֗י,H405,"wə·’aḵ·pî,",and my hand,Conj‑w | N‑msc | 1cs,H405,Job,33,5247,32
חַ֥ף,H2643,ḥap̄,innocent,Adj‑ms,H2643,Job,33,5259,32
תְּ֭נוּאוֹת,H8569,tə·nū·’ō·wṯ,occasions,N‑fp,H8569,Job,33,5263,32
וּבְמֹ֖סָרָ֣ם,H4561,ū·ḇə·mō·sā·rām,and their instruction,"Conj‑w, Prep‑b | N‑msc | 3mp",H4561,Job,33,5306,32
פְּ֭דָעֵהוּ,H6308,pə·ḏā·‘ê·hū,Deliver him,V‑Qal‑Imp‑ms | 3ms,H6308,Job,33,5351,32
לְ֭חֶבְרָה,H2274,lə·ḥeḇ·rāh,in company,Prep‑l | N‑fs,H2274,Job,34,5450,32
מַעְבָּֽדֵיהֶ֑ם,H4566,ma‘·bā·ḏê·hem;,their works,N‑mpc | 3mp,H4566,Job,34,5579,32
בַּפַּ֣שׁ,H6580,bap·paš,of folly,"Prep‑b, Art | N‑ms",H6580,Job,35,5756,32
יַכְבִּֽר׃,H3527,yaḵ·bir.,He multiplies,V‑Hifil‑Imperf‑3ms,H3527,Job,35,5764,32
רַ֭חַב,H7338,ra·ḥaḇ,[Into] a broad place,N‑ms,H7338,Job,36,5855,32
בְצָ֑ר,H1222,ḇə·ṣār;,from distress,Prep‑b | Adj‑ms,H1222,Job,36,5878,32
מַאֲמַצֵּי־,H3981,ma·’ă·maṣ·ṣê-,the forces,N‑mpc,H3981,Job,36,5880,32
תַשְׂגִּ֣יא,H7679,ṯaś·gî,to magnify,V‑Hifil‑Imperf‑2ms,H7679,Job,36,5910,32
