Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
πᾶσιν,to all,Adj-DMP,G3956,Titus 2,288
ἀνθρώποις,men,N-DMP,G444,Titus 2,289
παιδεύουσα,instructing,V-PPA-NFS,G3811,Titus 2,290
ἡμᾶς,us,PPro-A1P,G1473,Titus 2,291
ἀρνησάμενοι,having denied,V-APM-NMP,G720,Titus 2,292
ἀσέβειαν,ungodliness,N-AFS,G763,Titus 2,293
καὶ,and,Conj,G2532,Titus 2,294
κοσμικὰς,worldly,Adj-AFP,G2886,Titus 2,295
ἐπιθυμίας,passions,N-AFP,G1939,Titus 2,296
σωφρόνως,discreetly,Adv,G4996,Titus 2,297
δικαίως,righteously,Adv,G1346,Titus 2,298
εὐσεβῶς,piously,Adv,G2153,Titus 2,299
ζήσωμεν,we should live,V-ASA-1P,G2198,Titus 2,300
τῷ,the,Art-DMS,G3588,Titus 2,301
νῦν,present,Adv,G3568,Titus 2,302
αἰῶνι,age,N-DMS,G165,Titus 2,303
προσδεχόμενοι,awaiting,V-PPM/P-NMP,G4327,Titus 2,304
μακαρίαν,blessed,Adj-AFS,G3107,Titus 2,305
ἐλπίδα,hope,N-AFS,G1680,Titus 2,306
ἐπιφάνειαν,the appearing,N-AFS,G2015,Titus 2,307
τῆς,of the,Art-GFS,G3588,Titus 2,308
δόξης,glory,N-GFS,G1391,Titus 2,309
μεγάλου,great,Adj-GMS,G3173,Titus 2,310
Χριστοῦ ,Christ,N-GMS,G5547,Titus 2,311
Ἰησοῦ,Jesus,N-GMS,G2424,Titus 2,312
ὃς,who,RelPro-NMS,G3739,Titus 2,313
ἔδωκεν,gave,V-AIA-3S,G1325,Titus 2,314
ἑαυτὸν,Himself,RefPro-AM3S,G1438,Titus 2,315
ὑπὲρ,for,Prep,G5228,Titus 2,316
λυτρώσηται,He might redeem,V-ASM-3S,G3084,Titus 2,317
ἀπὸ,from,Prep,G575,Titus 2,318
πάσης,all,Adj-GFS,G3956,Titus 2,319
ἀνομίας,lawlessness,N-GFS,G458,Titus 2,320
καθαρίσῃ,might purify,V-ASA-3S,G2511,Titus 2,321
ἑαυτῷ,to Himself,RefPro-DM3S,G1438,Titus 2,322
λαὸν,a people,N-AMS,G2992,Titus 2,323
περιούσιον,specially chosen,Adj-AMS,G4041,Titus 2,324
ζηλωτὴν,zealous,N-AMS,G2207,Titus 2,325
Ταῦτα,These things,DPro-ANP,G3778,Titus 2,326
ἔλεγχε,rebuke,V-PMA-2S,G1651,Titus 2,327
μετὰ,with,Prep,G3326,Titus 2,328
ἐπιταγῆς,authority,N-GFS,G2003,Titus 2,329
μηδείς,No one,Adj-NMS,G3367,Titus 2,330
σου,you,PPro-G2S,G4771,Titus 2,331
περιφρονείτω,let despise,V-PMA-3S,G4065,Titus 2,332
Ὑπομίμνῃσκε,Remind,V-PMA-2S,G5279,Titus 3,333
αὐτοὺς,them,PPro-AM3P,G846,Titus 3,334
ἀρχαῖς,to rulers,N-DFP,G746,Titus 3,335
ἐξουσίαις,to authorities,N-DFP,G1849,Titus 3,336
ὑποτάσσεσθαι,to be subject,V-PNP,G5293,Titus 3,337
πειθαρχεῖν,to be obedient,V-PNA,G3980,Titus 3,338
πρὸς,for,Prep,G4314,Titus 3,339
πᾶν,every,Adj-ANS,G3956,Titus 3,340
ἔργον,work,N-ANS,G2041,Titus 3,341
ἀγαθὸν,good,Adj-ANS,G18,Titus 3,342
ἑτοίμους,ready,Adj-AMP,G2092,Titus 3,343
εἶναι,to be,V-PNA,G1510,Titus 3,344
μηδένα,no one,Adj-AMS,G3367,Titus 3,345
βλασφημεῖν,to speak evil of,V-PNA,G987,Titus 3,346
ἀμάχους,peaceable,Adj-AMP,G269,Titus 3,347
ἐπιεικεῖς,gentle,Adj-AMP,G1933,Titus 3,348
πᾶσαν,all,Adj-AFS,G3956,Titus 3,349
ἐνδεικνυμένους,showing,V-PPM-AMP,G1731,Titus 3,350
πραΰτητα,humility,N-AFS,G4240,Titus 3,351
πάντας,all,Adj-AMP,G3956,Titus 3,352
ἀνθρώπους,men,N-AMP,G444,Titus 3,353
Ἦμεν,Were,V-IIA-1P,G1510,Titus 3,354
γάρ,for,Conj,G1063,Titus 3,355
ποτε,once,Prtcl,G4218,Titus 3,356
καὶ,also,Conj,G2532,Titus 3,357
ἡμεῖς,we ourselves,PPro-N1P,G1473,Titus 3,358
ἀνόητοι,foolish,Adj-NMP,G453,Titus 3,359
ἀπειθεῖς,disobedient,Adj-NMP,G545,Titus 3,360
πλανώμενοι,being deceived,V-PPM/P-NMP,G4105,Titus 3,361
δουλεύοντες,serving,V-PPA-NMP,G1398,Titus 3,362
ἐπιθυμίαις,lusts,N-DFP,G1939,Titus 3,363
ἡδοναῖς,pleasures,N-DFP,G2237,Titus 3,364
ποικίλαις,various,Adj-DFP,G4164,Titus 3,365
