Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
ἀπεκτάνθη,was killed,V-AIP-3S,G615,Revelation 2,229
παρ,among,Prep,G3844,Revelation 2,230
ὀλίγα,a few things,Adj-ANP,G3641,Revelation 2,231
ἐκεῖ,some there,Adv,G1563,Revelation 2,232
διδαχὴν,teaching,N-AFS,G1322,Revelation 2,233
Βαλαάμ,of Balaam,N-GMS,G903,Revelation 2,234
ἐδίδασκεν,would teach,V-IIA-3S,G1321,Revelation 2,235
Βαλὰκ,Balak,N-DMS,G904,Revelation 2,236
σκάνδαλον,a snare,N-ANS,G4625,Revelation 2,237
Ἰσραήλ,of Israel,N-GMS,G2474,Revelation 2,238
εἰδωλόθυτα,things sacrificed to idols,Adj-ANP,G1494,Revelation 2,239
πορνεῦσαι,to commit sexual immorality,V-ANA,G4203,Revelation 2,240
οὕτως,So,Adv,G3779,Revelation 2,241
ὁμοίως,likewise,Adv,G3668,Revelation 2,242
ταχύ,quickly,Adv,G5035,Revelation 2,243
πολεμήσω,I will make war,V-FIA-1S,G4170,Revelation 2,244
μάννα,manna,N-GNS,G3131,Revelation 2,245
κεκρυμμένου,having been hidden,V-RPM/P-GNS,G2928,Revelation 2,246
ψῆφον,stone,N-AFS,G5586,Revelation 2,247
καινὸν,new,Adj-ANS,G2537,Revelation 2,248
οὐδεὶς,no one,Adj-NMS,G3762,Revelation 2,249
λαμβάνων,receiving it,V-PPA-NMS,G2983,Revelation 2,250
διακονίαν,service,N-AFS,G1248,Revelation 2,251
πλείονα,are greater,Adj-ANP-C,G4119,Revelation 2,252
γυναῖκα,woman,N-AFS,G1135,Revelation 2,253
Ἰεζάβελ,Jezebel,N-AFS,G2403,Revelation 2,254
προφῆτιν,a prophetess,N-AFS,G4398,Revelation 2,255
πλανᾷ,misleading,V-PIA-3S,G4105,Revelation 2,256
ἐμοὺς,My,PPro-AM1P,G1699,Revelation 2,257
χρόνον,time,N-AMS,G5550,Revelation 2,258
θέλει,she is willing,V-PIA-3S,G2309,Revelation 2,259
πορνείας,sexual immorality,N-GFS,G4202,Revelation 2,260
κλίνην,a sickbed,N-AFS,G2825,Revelation 2,261
μοιχεύοντας,committing adultery,V-PPA-AMP,G3431,Revelation 2,262
τέκνα,children,N-ANP,G5043,Revelation 2,263
γνώσονται,will know,V-FIM-3P,G1097,Revelation 2,264
ἐραυνῶν,searching,V-PPA-NMS,G2045,Revelation 2,265
νεφροὺς,affections,N-AMP,G3510,Revelation 2,266
καρδίας,hearts,N-AFP,G2588,Revelation 2,267
ἑκάστῳ,to each,Adj-DMS,G1538,Revelation 2,268
λοιποῖς,rest,Adj-DMP,G3062,Revelation 2,269
βαθέα,depths,Adj-ANP,G901,Revelation 2,270
ἄλλο,any other,Adj-ANS,G243,Revelation 2,271
βάρος,burden,N-ANS,G922,Revelation 2,272
πλὴν,But,Conj,G4133,Revelation 2,273
ἂν,-,Prtcl,G302,Revelation 2,274
ἥξω,I might come,V-ASA-1S,G2240,Revelation 2,275
ἐξουσίαν,authority,N-AFS,G1849,Revelation 2,276
ἐθνῶν,nations,N-GNP,G1484,Revelation 2,277
ποιμανεῖ,he will shepherd,V-FIA-3S,G4165,Revelation 2,278
ῥάβδῳ,a rod,N-DFS,G4464,Revelation 2,279
σιδηρᾷ,of iron,Adj-DFS,G4603,Revelation 2,280
σκεύη,vessels of,N-NNP,G4632,Revelation 2,281
κεραμικὰ,potter,Adj-NNP,G2764,Revelation 2,282
συντρίβεται,are broken in pieces,V-PIM/P-3S,G4937,Revelation 2,283
πρωϊνόν,morning,Adj-AMS,G4407,Revelation 2,284
γρηγορῶν,watching,V-PPA-NMS,G1127,Revelation 3,285
στήρισον,strengthen,V-AMA-2S,G4741,Revelation 3,286
ἀποθανεῖν,to die,V-ANA,G599,Revelation 3,287
πεπληρωμένα,having been completed,V-RPM/P-ANP,G4137,Revelation 3,288
πῶς,what,Adv,G4459,Revelation 3,289
κλέπτης,a thief,N-NMS,G2812,Revelation 3,290
ποίαν,at what,IPro-AFS,G4169,Revelation 3,291
ὥραν,hour,N-AFS,G5610,Revelation 3,292
ἐμόλυναν,have soiled,V-AIA-3P,G3435,Revelation 3,293
ἱμάτια,garments,N-ANP,G2440,Revelation 3,294
ἄξιοί,worthy,Adj-NMP,G514,Revelation 3,295
περιβαλεῖται,will be clothed,V-FIM-3S,G4016,Revelation 3,296
ἐξαλείψω,will I blot out,V-FIA-1S,G1813,Revelation 3,297
βίβλου,book,N-GFS,G976,Revelation 3,298
ὁμολογήσω,I will confess,V-FIA-1S,G3670,Revelation 3,299
ἅγιος,Holy One,Adj-NMS,G40,Revelation 3,300
ἀληθινός,True One,Adj-NMS,G228,Revelation 3,301
Δαυίδ,of David,N-GMS,G1138,Revelation 3,302
ἀνοίγων,opening,V-PPA-NMS,G455,Revelation 3,303
κλείσει,will shut,V-FIA-3S,G2808,Revelation 3,304
θύραν,a door,N-AFS,G2374,Revelation 3,305
μικρὰν,little,Adj-AFS,G3398,Revelation 3,306
ψεύδονται,they lie,V-PIM/P-3P,G5574,Revelation 3,307
προσκυνήσουσιν,will worship,V-FIA-3P,G4352,Revelation 3,308
πειρασμοῦ,trial,N-GMS,G3986,Revelation 3,309
οἰκουμένης,inhabited world,N-GFS,G3625,Revelation 3,310
ὅλης,whole,Adj-GFS,G3650,Revelation 3,311
στῦλον,a pillar,N-AMS,G4769,Revelation 3,312
ναῷ,temple,N-DMS,G3485,Revelation 3,313
ἔξω,out,Adv,G1854,Revelation 3,314
ἐξέλθῃ,shall he go,V-ASA-3S,G1831,Revelation 3,315
ἔτι,anymore,Adv,G2089,Revelation 3,316
πόλεως,city,N-GFS,G4172,Revelation 3,317
Ἰερουσαλήμ,Jerusalem,N-GFS,G2419,Revelation 3,318
καταβαίνουσα,coming down,V-PPA-NFS,G2597,Revelation 3,319
οὐρανοῦ,heaven,N-GMS,G3772,Revelation 3,320
κτίσεως,creation,N-GFS,G2937,Revelation 3,321
οὔτε,neither,Conj,G3777,Revelation 3,322
ψυχρὸς,cold,Adj-NMS,G5593,Revelation 3,323
ζεστός,hot,Adj-NMS,G2200,Revelation 3,324
ὄφελον,I wish,I,G3785,Revelation 3,325
ἢ,or,Conj,G2228,Revelation 3,326
χλιαρὸς,lukewarm,Adj-NMS,G5513,Revelation 3,327
ἐμέσαι,to spit,V-ANA,G1692,Revelation 3,328
πεπλούτηκα,I have grown rich,V-RIA-1S,G4147,Revelation 3,329
χρείαν,need,N-AFS,G5532,Revelation 3,330
ταλαίπωρος,wretched,Adj-NMS,G5005,Revelation 3,331
ἐλεεινὸς,miserable,Adj-NMS,G1652,Revelation 3,332
πτωχὸς,poor,Adj-NMS,G4434,Revelation 3,333
τυφλὸς,blind,Adj-NMS,G5185,Revelation 3,334
γυμνός,naked,Adj-NMS,G1131,Revelation 3,335
συμβουλεύω,I counsel,V-PIA-1S,G4823,Revelation 3,336
ἀγοράσαι,to buy,V-ANA,G59,Revelation 3,337
χρυσίον,gold,N-ANS,G5553,Revelation 3,338
φανερωθῇ,might be made manifest,V-ASP-3S,G5319,Revelation 3,339
αἰσχύνη,shame,N-NFS,G152,Revelation 3,340
γυμνότητός,nakedness,N-GFS,G1132,Revelation 3,341
κολλούριον,eye-salve,N-ANS,G2854,Revelation 3,342
ἐγχρῖσαι,to anoint,V-ANA,G1472,Revelation 3,343
φιλῶ,might love,V-PSA-1S,G5368,Revelation 3,344
ἐλέγχω,I rebuke,V-PIA-1S,G1651,Revelation 3,345
παιδεύω,discipline,V-PIA-1S,G3811,Revelation 3,346
ζήλευε,be zealous,V-PMA-2S,G2206,Revelation 3,347
ἕστηκα,I stand,V-RIA-1S,G2476,Revelation 3,348
κρούω,knock,V-PIA-1S,G2925,Revelation 3,349
τις,anyone,IPro-NMS,G5100,Revelation 3,350
εἰσελεύσομαι,I will come in,V-FIM-1S,G1525,Revelation 3,351
δειπνήσω,will dine,V-FIA-1S,G1172,Revelation 3,352
καθίσαι,to sit,V-ANA,G2523,Revelation 3,353
Ἀνάβα,Come up,V-AMA-2S,G305,Revelation 4,354
ὧδε,here,Adv,G5602,Revelation 4,355
εὐθέως,Immediately,Adv,G2112,Revelation 4,356
ἔκειτο,was set,V-IIM/P-3S,G2749,Revelation 4,357
καθήμενος,One sitting,V-PPM/P-NMS,G2521,Revelation 4,358
ὁράσει,in appearance,N-DFS,G3706,Revelation 4,359
λίθῳ,stone,N-DMS,G3037,Revelation 4,360
ἰάσπιδι,jasper,N-DFS,G2393,Revelation 4,361
σαρδίῳ,sardius,N-DNS,G4556,Revelation 4,362
ἶρις,a rainbow,N-NFS,G2463,Revelation 4,363
κυκλόθεν,was around,Prep,G2943,Revelation 4,364
σμαραγδίνῳ,an emerald,Adj-DMS,G4664,Revelation 4,365
εἴκοσι,were twenty,Adj-AMP,G1501,Revelation 4,366
τέσσαρες,four,Adj-NMP,G5064,Revelation 4,367
πρεσβυτέρους,elders,Adj-AMP,G4245,Revelation 4,368
ἀστραπαὶ,flashes of lightning,N-NFP,G796,Revelation 4,369
βρονταί,thunderings,N-NFP,G1027,Revelation 4,370
λαμπάδες,lamps,N-NFP,G2985,Revelation 4,371
καιόμεναι,burning,V-PPM/P-NFP,G2545,Revelation 4,372
θάλασσα,a sea,N-NFS,G2281,Revelation 4,373
ὑαλίνη,of glass,Adj-NFS,G5193,Revelation 4,374
κρυστάλλῳ,crystal,N-DMS,G2930,Revelation 4,375
κύκλῳ,around,Prep,G2945,Revelation 4,376
ζῷα,living creatures,N-NNP,G2226,Revelation 4,377
γέμοντα,being full,V-PPA-NNP,G1073,Revelation 4,378
ἔμπροσθεν,in front,Adv,G1715,Revelation 4,379
ὄπισθεν,behind,Adv,G3693,Revelation 4,380
λέοντι,a lion,N-DMS,G3023,Revelation 4,381
μόσχῳ,a calf,N-DMS,G3448,Revelation 4,382
τρίτον,third,Adj-NNS,G5154,Revelation 4,383
πρόσωπον,face,N-ANS,G4383,Revelation 4,384
τέταρτον,fourth,Adj-NNS,G5067,Revelation 4,385
ἀετῷ,an eagle,N-DMS,G105,Revelation 4,386
πετομένῳ,flying,V-PPM/P-DMS,G4072,Revelation 4,387
ἓν,one,Adj-NNS,G1520,Revelation 4,388
ἀνὰ,respectively,Adv,G303,Revelation 4,389
πτέρυγας,wings,N-AFP,G4420,Revelation 4,390
ἕξ,six,Adj-AFP,G1803,Revelation 4,391
ἔσωθεν,within,Adv,G2081,Revelation 4,392
ἀνάπαυσιν,rest,N-AFS,G372,Revelation 4,393
νυκτὸς,night,N-GFS,G3571,Revelation 4,394
ὅταν,whenever,Conj,G3752,Revelation 4,395
τιμὴν,honor,N-AFS,G5092,Revelation 4,396
εὐχαριστίαν,thanksgiving,N-AFS,G2169,Revelation 4,397
