Greek Word,english_translation,parsing_abbreviation,strongs_number,chapter_ref,Row Ordinal
Ὅτε,When,Adv,G3753,Titus 3,237
χρηστότης,kindness,N-NFS,G5544,Titus 3,238
φιλανθρωπία,love of mankind,N-NFS,G5363,Titus 3,239
οὐκ,not,Adv,G3756,Titus 3,240
δικαιοσύνῃ,righteousness,N-DFS,G1343,Titus 3,241
ἐποιήσαμεν,did,V-AIA-1P,G4160,Titus 3,242
ἔλεος,mercy,N-ANS,G1656,Titus 3,243
ἔσωσεν,He saved,V-AIA-3S,G4982,Titus 3,244
λουτροῦ,the washing,N-GNS,G3067,Titus 3,245
παλινγενεσίας,of regeneration,N-GFS,G3824,Titus 3,246
ἀνακαινώσεως,renewing,N-GFS,G342,Titus 3,247
Πνεύματος,of the Spirit,N-GNS,G4151,Titus 3,248
Ἁγίου,Holy,Adj-GNS,G40,Titus 3,249
ἐξέχεεν,He poured out,V-AIA-3S,G1632,Titus 3,250
πλουσίως,richly,Adv,G4146,Titus 3,251
δικαιωθέντες,having been justified,V-APP-NMP,G1344,Titus 3,252
ἐκείνου,by that,DPro-GMS,G1565,Titus 3,253
κληρονόμοι,heirs,N-NMP,G2818,Titus 3,254
γενηθῶμεν,we should become,V-ASP-1P,G1096,Titus 3,255
βούλομαί,I want,V-PIM/P-1S,G1014,Titus 3,256
διαβεβαιοῦσθαι,to affirm strongly,V-PNM/P,G1226,Titus 3,257
φροντίζωσιν,may take care,V-PSA-3P,G5431,Titus 3,258
προΐστασθαι,to be devoted to,V-PNM,G4291,Titus 3,259
ὠφέλιμα,profitable,Adj-NNP,G5624,Titus 3,260
Μωρὰς,Foolish,Adj-AFP,G3474,Titus 3,261
ζητήσεις,controversies,N-AFP,G2214,Titus 3,262
γενεαλογίας,genealogies,N-AFP,G1076,Titus 3,263
ἔρεις,arguments,N-AFP,G2054,Titus 3,264
μάχας,quarrels,N-AFP,G3163,Titus 3,265
νομικὰς,about the Law,Adj-AFP,G3544,Titus 3,266
περιΐστασο,avoid,V-PMM-2S,G4026,Titus 3,267
