hebrew_word,lemma,transliteration,english_translation,parsing_abbreviation,strongs_number,book,chapter,ordinal,reading_order_position
מַשְׁגִּ֙יחַ֙,H7688,maš·gî·aḥ,He is looking,V‑Hifil‑Prtcpl‑ms,H7688,Song of Songs,2,198,20
מִן־,H4480,min-,through,Prep,H4480,Song of Songs,2,199,20
הַֽחֲלֹּנ֔וֹת,H2474,"ha·ḥăl·lō·nō·wṯ,",the windows,Art | N‑cp,H2474,Song of Songs,2,200,20
מֵצִ֖יץ,H6692,mê·ṣîṣ,Gazing,V‑Hifil‑Prtcpl‑ms,H6692,Song of Songs,2,201,20
מִן־,H4480,min-,through,Prep,H4480,Song of Songs,2,202,20
הַֽחֲרַכִּֽים׃,H2762,ha·ḥă·rak·kîm.,the lattice,Art | N‑mp,H2762,Song of Songs,2,203,20
דוֹדִ֖י,H1730,ḏō·w·ḏî,My beloved,N‑msc | 1cs,H1730,Song of Songs,2,204,20
וְאָ֣מַר,H559,wə·’ā·mar,and said,Conj‑w | V‑Qal‑ConjPerf‑3ms,H559,Song of Songs,2,205,20
ק֥וּמִי,H6965,qū·mî,Rise up,V‑Qal‑Imp‑fs,H6965,Song of Songs,2,206,20
רַעְיָתִ֥י,H7474,ra‘·yā·ṯî,my love,N‑fsc | 1cs,H7474,Song of Songs,2,207,20
יָפָתִ֖י,H3303,yā·p̄ā·ṯî,my fair one,Adj‑fsc | 1cs,H3303,Song of Songs,2,208,20
וּלְכִי־,H1980,ū·lə·ḵî-,and come away,Conj‑w | V‑Qal‑Imp‑fs,H1980,Song of Songs,2,209,20
הִנֵּ֥ה,H2009,hin·nêh,lo,Interjection,H2009,Song of Songs,2,210,20
(הַסְּתָ֖יו),H5638,has·sə·ṯāw,the winter,Art | N‑ms,H5638,Song of Songs,2,211,20
עָבָ֑ר,H5674,‘ā·ḇār;,is past,V‑Qal‑Perf‑3ms,H5674,Song of Songs,2,212,20
הַגֶּ֕שֶׁם,H1653,hag·ge·šem,the rain,Art | N‑ms,H1653,Song of Songs,2,213,20
חָלַ֖ף,H2498,ḥā·lap̄,is over,V‑Qal‑Perf‑3ms,H2498,Song of Songs,2,214,20
הָלַ֥ךְ,H1980,hā·laḵ,[and] gone,V‑Qal‑Perf‑3ms,H1980,Song of Songs,2,215,20
נִרְא֣וּ,H7200,nir·’ū,appear,V‑Nifal‑Perf‑3cp,H7200,Song of Songs,2,216,20
בָאָ֔רֶץ,H776,"ḇā·’ā·reṣ,",on the earth,"Prep‑b, Art | N‑fs",H776,Song of Songs,2,217,20
עֵ֥ת,H6256,‘êṯ,the time,N‑csc,H6256,Song of Songs,2,218,20
הַזָּמִ֖יר,H2158,haz·zā·mîr,of singing,Art | N‑ms,H2158,Song of Songs,2,219,20
הִגִּ֑יעַ,H5060,hig·gî·a‘;,has come,V‑Hifil‑Perf‑3ms,H5060,Song of Songs,2,220,20
וְק֥וֹל,H6963,wə·qō·wl,and the voice,Conj‑w | N‑msc,H6963,Song of Songs,2,221,20
הַתּ֖וֹר,H8449,hat·tō·wr,of the turtledove,Art | N‑fs,H8449,Song of Songs,2,222,20
נִשְׁמַ֥ע,H8085,niš·ma‘,is heard,V‑Nifal‑Perf‑3ms,H8085,Song of Songs,2,223,20
בְּאַרְצֵֽנוּ׃,H776,bə·’ar·ṣê·nū.,in our land,Prep‑b | N‑fsc | 1cp,H776,Song of Songs,2,224,20
